craft,archetype,deck_link,score
sword,evolve_rally_sword,https://shadowverse-portal.com/deck/3.2.7SuH2.7SuH2.7ThYI.gl-oS.gl-oS.gl-oS.7IDPw.7IDPw.7HWki.7HWki.7HWki.7S_by.7S_by.7S_by.7PyHo.7PyHo.7PyHo.7Tj-i.7Tj-i.7Tj-i.7S_c6.7S_c6.7S_c6.7EVsy.7EVt6.7EVt6.7EVt6.7IKkg.7IKkg.7IKkg.7M8tg.7M8tg.7M8tg.7ETQY.7ETQY.7ETQY.7IJ_o.7IJ_o.7IJ_o.7IIIQ,0
blood,handless_blood,https://shadowverse-portal.com/deck/3.6.7HUnY.7HUnY.7NawI.7NawI.7NawI.7Nawc.7Nawc.7Nawc.7RMd2.7RMd2.7RMd2.7RP3S.7RP3S.7RP3S.7VFei.7VFei.7RSEQ.7RSEQ.7RSEQ.7RMdC.7RMdC.7RMdC.7VI4y.7VI4y.7VI4y.g3j34.g3j34.g3j34.gnXBA.gnXBA.gnXBA.7RTxy.7RTxy.7RTxy.7VDxA.7VDxA.7VDxA.7RP3I.7RP3I.7RP3I,0
shadow,flame_and_glass_shadow,https://shadowverse-portal.com/deck/3.5.7SuH2.7SuH2.7SuH2.7Ff6c.7Ff6c.7Ff6c.7Q-CY.7Q-CY.7Q-CY.7NAoQ.7NAoQ.7NAoQ.7R3pw.7R3pw.7R3pw.7HWki.7HWki.7LNJy.7LNJy.7LNJy.7JTFc.7JTFc.7JTFc.7UrWg.7UrWg.7UrWg.7P7JA.7P7JA.7NHOc.7NHOc.7JQpC.7JQpC.7PBSo.7PBSo.7JTFI.7JTFI.7JTFI.7NA3s.7NA3s.7NA3s,0
sword,evolve_rally_sword,https://shadowverse-portal.com/deck/3.2.7SuH2.7SuH2.7SuH2.5-Hb2.7PtPS.7PtPS.7PtPS.7IDPw.7IDPw.7HWki.7HWki.7S_by.7S_by.7S_by.7PyHo.7PyHo.7PyHo.7Tj-i.7Tj-i.7Tj-i.7S_c6.7S_c6.7S_c6.7EVt6.7EVt6.7EVt6.7M88y.7M88y.7IKkg.7IKkg.7M8tg.7M8tg.7M8tg.7ETQY.7ETQY.7ETQY.7IJ_o.7IJ_o.7IJ_o.7IIIQ,0
forest,ladica_forest,https://shadowverse-portal.com/deck/3.1.7DjKQ.7DjKQ.7TJ7o.7TJ7o.7TJ7o.7E0sQ.7E0sQ.7E0sQ.7Lhag.7Lhag.7Lhag.7Lk0w.7Lk0w.7Lk0w.7PVjg.7PVjg.7S_by.7S_by.7S_by.7E07Y.7E07Y.7E07Y.7Lgs6.7Lgs6.7Lgs6.gd-qg.gd-qg.gd-qg.7P7JA.7P7JA.7PSYs.7E7SS.7E7SS.7E7SS.7PU-y.7PU-y.7PU-y.7TO0c.7TO0c.7TO0c,0
shadow,flame_and_glass_shadow,https://shadowverse-portal.com/deck/3.5.7SuH2.7SuH2.7SuH2.7Ff6c.7Ff6c.7Ff6c.7Q-CY.7Q-CY.7NAoQ.7NAoQ.7NAoQ.7R3pw.7R3pw.7R3pw.7HWki.7HWki.7HWki.7LNJy.7LNJy.7LNJy.7JTFc.7JTFc.7JTFc.7UrWg.7UrWg.7UrWg.7P7JA.7P7JA.7NHOc.7NHOc.7JQpC.7JQpC.7PBSo.7JTFI.7JTFI.7JTFI.7NA3s.7NA3s.7NA3s.7R35C,0
blood,mono_blood,https://shadowverse-portal.com/deck/3.6.7DgeY.7DgeY.7DgeY.7NawI.7NawI.7NawI.7VFei.7VFei.7F_pQ.7F_pQ.7F_pQ.7S_by.7S_by.7S_by.7G1Wo.7G1Wo.7G1Wo.7VI4y.7VI4y.7VI4y.7NZCw.7NZCw.7NZCw.7NbfA.7NbfA.7P7JA.7P7JA.7P7JA.7G1X6.7G1X6.7G1X6.7RRVY.7RRVY.7RRVY.7VI56.7VI56.7VI56.7VI4o.7VI4o.7VI4o,0
shadow,flame_and_glass_shadow,https://shadowverse-portal.com/deck/3.5.7SuH2.7Ff6c.7Ff6c.7Ff6c.7Q-CY.7Q-CY.7Q-CY.7R3pw.7R3pw.7R3pw.gn6KQ.gn6KQ.gn6KQ.7HWki.7HWki.7HWki.7LNJy.7LNJy.7LNJy.7JTFc.7JTFc.7JTFc.7UrWg.7UrWg.7UrWg.7P7JA.7P7JA.7P7JA.7NHOc.7NHOc.7JQpC.7JQpC.7PBSo.7JTFI.7JTFI.7JTFI.7NA3s.7NA3s.7NA3s.7R35C,0
blood,handless_blood,https://shadowverse-portal.com/deck/3.6.7NawI.7NawI.7NawI.7Nawc.7Nawc.7Nawc.7RMd2.7RMd2.7RMd2.7RP3S.7RP3S.7RP3S.7VFei.7VFei.7VFei.gnZdQ.gnZdQ.gnZdQ.7RMdC.7RMdC.7RMdC.7VI4y.7VI4y.7VI4y.5_p-4.5_p-4.5_p-4.gnXBA.gnXBA.gnXBA.7RTxy.7RTxy.7RTxy.7VDxA.7VDxA.7RP3I.7RP3I.7RP3I.7VI56.7VI56,4
portal,resonance_puppet_portal,https://shadowverse-portal.com/deck/3.8.7OQdy.7OQdy.7VxbM.7VxbM.7VxbM.goEr2.goEr2.goEr2.7GkCA.7GkCA.7GkCA.7S8Aw.7S8Aw.7S8Aw.7HWki.7HWki.7HWki.7LLca.7LLca.7GoM6.7GoM6.7GoM6.7Vxb2.7Vxb2.7V-1I.7V-1I.7V-1I.7V-1S.7V-1S.7V-1S.7SAdA.7SAdA.7W3eg.7W3eg.7W3eg.7OQe6.7OQe6.7OQe6.7W2vo.7W2vo,4
blood,handless_blood,https://shadowverse-portal.com/deck/3.6.7HUnY.7HUnY.7NawI.7NawI.7NawI.7Nawc.7Nawc.7Nawc.7RMd2.7RMd2.7RMd2.7RP3S.7RP3S.7RP3S.7VFei.7VFei.gnZdQ.gnZdQ.gnZdQ.7RMdC.7RMdC.7RMdC.7VI4y.7VI4y.7VI4y.5_p-4.5_p-4.5_p-4.7RPoA.7RPoA.7RPoA.7RTxy.7RTxy.7RTxy.7VDxA.7VDxA.7VDxA.7RP3I.7RP3I.7RP3I,0
sword,evolve_rally_sword,https://shadowverse-portal.com/deck/3.2.7SuH2.7SuH2.7SuH2.gl-oS.gl-oS.gl-oS.7IDPw.7IDPw.7IDPw.7HWki.7HWki.7S_by.7S_by.7S_by.7PyHo.7PyHo.7PyHo.7Tj-i.7Tj-i.7Tj-i.7S_c6.7S_c6.7S_c6.7EVsy.7EVsy.7EVt6.7EVt6.7EVt6.7IKkg.7IKkg.7M8tg.7M8tg.7M8tg.7ETQY.7ETQY.7ETQY.7IJ_o.7IJ_o.7IJ_o.7IIIQ,0
sword,evolve_rally_sword,https://shadowverse-portal.com/deck/3.2.7SuH2.7SuH2.7SuH2.7PtPS.7PtPS.7PtPS.7ThYI.7IDPw.7IDPw.7IDPw.7HWki.7HWki.7HWki.7S_by.7S_by.7S_by.7PyHo.7PyHo.7PyHo.7Tj-i.7Tj-i.7Tj-i.7S_c6.7S_c6.7S_c6.7EVt6.7EVt6.7EVt6.7IKkg.7IKkg.7IKkg.7M8tg.7M8tg.7M8tg.7ETQY.7ETQY.7ETQY.7IJ_o.7IJ_o.7IJ_o,0
portal,resonance_puppet_portal,https://shadowverse-portal.com/deck/3.8.7KVAC.7KVAC.7KVAC.7OQdy.7OQdy.7OQdy.7VxbM.7VxbM.7VxbM.7GkCA.7GkCA.7GkCA.7S8Aw.7S8Aw.7S8Aw.7HWki.7HWki.7HWki.7LLca.7LLca.7GoM6.7GoM6.7GoM6.7Vxb2.7Vxb2.7V-1I.7V-1I.7V-1I.7V-1S.7V-1S.7V-1S.7W3eg.7W3eg.7W3eg.7OQe6.7OQe6.7OQe6.7W2vo.7W2vo.7W2vo,0
blood,handless_blood,https://shadowverse-portal.com/deck/3.6.7HUnY.7HUnY.7NawI.7NawI.7NawI.7Nawc.7Nawc.7Nawc.7RMd2.7RMd2.7RMd2.7RP3S.7RP3S.7RP3S.7VFei.7VFei.7VFei.7RSEQ.7RSEQ.7RSEQ.7RMdC.7RMdC.7RMdC.7VI4y.7VI4y.7VI4y.5_p-4.5_p-4.5_p-4.gnXBA.gnXBA.gnXBA.7Nfp6.7RTxy.7RTxy.7RTxy.7VDxA.7RP3I.7RP3I.7RP3I,0
sword,evolve_rally_sword,https://shadowverse-portal.com/deck/3.2.7SuH2.7SuH2.7ThYI.7ThYI.gl-oS.gl-oS.gl-oS.7IDPw.7IDPw.7HWki.7HWki.7S_by.7S_by.7S_by.7PyHo.7PyHo.7PyHo.7Tj-i.7Tj-i.7Tj-i.7S_c6.7S_c6.7S_c6.7EVsy.7EVt6.7EVt6.7EVt6.7IKkg.7IKkg.7IKkg.7M8tg.7M8tg.7M8tg.7ETQY.7ETQY.7ETQY.7IJ_o.7IJ_o.7IJ_o.7IIIQ,0
forest,ladica_forest,https://shadowverse-portal.com/deck/3.1.7DjKQ.7DjKQ.7DjKQ.7TJ7o.7TJ7o.7TJ7o.7E0sQ.7E0sQ.7Lhag.7Lhag.7Lhag.7Lk0w.7Lk0w.7Lk0w.7PVjg.7PVjg.7S_by.7S_by.7E07Y.7E07Y.7E07Y.7Lgs6.7Lgs6.7Lgs6.7E3Ig.7E3Ig.7E3Ig.7P7JA.7P7JA.7PSYs.7TLaC.7E7SS.7E7SS.7E7SS.glcNo.glcNo.glcNo.7TO0c.7TO0c.7TO0c,0
sword,evolve_rally_sword,https://shadowverse-portal.com/deck/3.2.7SuH2.7SuH2.7SuH2.7PtPS.7PtPS.7PtPS.7IDPw.7IDPw.7HWki.7HWki.7HWki.7S_by.7S_by.7S_by.7PyHo.7PyHo.7PyHo.7Tj-i.7Tj-i.7Tj-i.7S_c6.7S_c6.7S_c6.7EVt6.7EVt6.7EVt6.7IKkg.7IKkg.7IKkg.7M8tg.7M8tg.7M8tg.7ETQY.7ETQY.7ETQY.7IJ_o.7IJ_o.7IJ_o.7IIIQ.7IIIQ,0
blood,mono_blood,https://shadowverse-portal.com/deck/3.6.7DgeY.7DgeY.7DgeY.7NawI.7NawI.7NawI.7VFei.7VFei.7F_pQ.7F_pQ.7F_pQ.7HWki.7HWki.7S_by.7S_by.7S_by.7G1Wo.7G1Wo.7G1Wo.7VI4y.7VI4y.7VI4y.7NZCw.7NZCw.7NZCw.7NbfA.7NbfA.7P7JA.7P7JA.7P7JA.7RRVY.7RRVY.7RRVY.7JpDY.7VI56.7VI56.7VI56.7VI4o.7VI4o.7VI4o,0
dragon,burn_dragon,https://shadowverse-portal.com/deck/3.4.7Mq5c.7Mq5c.7Mq5c.7MoNw.7MoNw.7MtGQ.7MtGQ.7HWki.7HWki.7LNJy.7S_by.7S_by.7S_by.7Muzo.7Muzo.7Muzo.g2yDw.g2yDw.g2yDw.7P7JA.7P7JA.7P7JA.7FGi6.7FGi6.7FGi6.7Qj6o.7Qj6o.7Qj6o.7UUpi.7UUpi.7UUpi.7J4r6.7J4r6.7J4r6.7Mu-6.gfCDy.gfCDy.gfCDo.gfCDo.gfCDo,0
forest,ladica_forest,https://shadowverse-portal.com/deck/3.1.7DjKQ.7TJ7o.7TJ7o.7TJ7o.7E0sQ.7E0sQ.7E0sQ.7Lhag.7Lhag.7Lhag.7Lk0w.7Lk0w.7Lk0w.7PVjg.7PVjg.7PVjg.7S_by.7S_by.7E07Y.7E07Y.7E07Y.7Lgs6.7Lgs6.7Lgs6.7E3Ig.7E3Ig.7E3Ig.7P7JA.7P7JA.7PSYs.glfYw.7E7SS.7E7SS.7E7SS.glcNo.glcNo.glcNo.7TO0c.7TO0c.7TO0c,0
blood,mono_blood,https://shadowverse-portal.com/deck/3.6.7DgeY.7DgeY.7DgeY.7NawI.7NawI.7NawI.7VFei.7VFei.7F_pQ.7F_pQ.7F_pQ.7HWki.7HWki.7S_by.7S_by.7S_by.7G1Wo.7G1Wo.7G1Wo.7VI4y.7VI4y.7VI4y.7NbfA.7NbfA.gfsSw.gfsSw.gfsSw.7P7JA.7P7JA.7P7JA.7RRVY.7RRVY.7RRVY.7JpDY.7VI56.7VI56.7VI56.7VI4o.7VI4o.7VI4o,0
rune,dirt_rune,https://shadowverse-portal.com/deck/3.3.7IiQc.7IiQc.7IiQc.7IbqQ.7IbqQ.7IbqQ.7MRgo.7MRgo.7MRgo.7MU72.7MU72.7MU72.7QKic.7QKic.7QKic.7U3yo.7U3yo.7U3yo.7QE6a.7QI-w.gmPf2.gmPf2.gmPf2.7QE6Q.7QE6Q.7QE6Q.7Ib5Y.7Ib5Y.7Ib5Y.7U6P2.7U6P2.7U6P2.7QFpy.7QFpy.7QFpy.7IiQS.7IiQS.7IdXy.7IdXy.7IdXy,0
blood,handless_blood,https://shadowverse-portal.com/deck/3.6.7HUnY.7HUnY.7NawI.7NawI.7NawI.7Nawc.7Nawc.7Nawc.7RMd2.7RMd2.7RMd2.7RP3S.7RP3S.7RP3S.7VFei.7VFei.gnZdQ.gnZdQ.gnZdQ.7RMdC.7RMdC.7RMdC.7VI4y.7VI4y.7VI4y.7RPoA.7RPoA.7RPoA.g3j34.g3j34.g3j34.7RTxy.7RTxy.7RTxy.7VDxA.7VDxA.7VDxA.7RP3I.7RP3I.7RP3I,0
shadow,flame_and_glass_shadow,https://shadowverse-portal.com/deck/3.5.7SuH2.7SuH2.7Ff6c.7Ff6c.7Ff6c.7Q-CY.7Q-CY.7Q-CY.7R3pw.7R3pw.7R3pw.gn6KQ.gn6KQ.gn6KQ.7HWki.7HWki.7LNJy.7LNJy.7LNJy.7JTFc.7JTFc.7JTFc.7UrWg.7UrWg.7UrWg.7P7JA.7P7JA.7NHOc.7NHOc.7NHOc.7JQpC.7JQpC.7PBSo.7PBSo.7JTFI.7JTFI.7JTFI.7NA3s.7NA3s.7NA3s,0
blood,evolve_blood,https://shadowverse-portal.com/deck/3.6.7NawI.7NawI.7NawI.7RP3S.7RP3S.7RP3S.7FwhI.7FwhI.7LNJy.7LNJy.7P9lQ.7P9lQ.7NdMY.7NdMY.7NdMY.7RTxo.7RTxo.7RTxo.7VDCI.7VDCI.7VDCI.7VI4y.7VI4y.7VI4y.7NbfA.7NbfA.7NbfA.7G1X6.7G1X6.7G1X6.7Nfoo.7Nfoo.7RP3I.7RP3I.7VI56.7VI56.7VI56.7Jrg6.7Jrg6.7VI4o,0
sword,evolve_rally_sword,https://shadowverse-portal.com/deck/3.2.7SuH2.7SuH2.7SuH2.gl-oS.gl-oS.gl-oS.7IDPw.7IDPw.7IDPw.7HWki.7HWki.7HWki.7S_by.7S_by.7S_by.7PyHo.7PyHo.7PyHo.7Tj-i.7Tj-i.7Tj-i.7S_c6.7S_c6.7S_c6.7EVt6.7EVt6.7EVt6.7IKkg.7IKkg.7IKkg.7M8tg.7M8tg.7M8tg.7ETQY.7ETQY.7ETQY.7IJ_o.7IJ_o.7IJ_o.7IIIQ,0
blood,mono_blood,https://shadowverse-portal.com/deck/3.6.7DgeY.7DgeY.7DgeY.7NawI.7NawI.7NawI.7VFei.7VFei.7F_pQ.7F_pQ.7F_pQ.7S_by.7S_by.7S_by.7G1Wo.7G1Wo.7G1Wo.7VI4y.7VI4y.7VI4y.7NZCw.7NZCw.7NZCw.7NbfA.7NbfA.7P7JA.7P7JA.7P7JA.7G1X6.7G1X6.7G1X6.7RRVY.7RRVY.7RRVY.7VI56.7VI56.7VI56.7VI4o.7VI4o.7VI4o,0
shadow,ghost_town_shadow,https://shadowverse-portal.com/deck/3.5.7Ff6c.7Ff6c.7Ff6c.7Q-CY.7Q-CY.7Q-CY.7NAoQ.7NAoQ.7NAoQ.7R3pw.7R3pw.7R3pw.7LNJy.7LNJy.7LNJy.7JOMy.7JOMy.7JOMy.7JTFc.7JTFc.7JTFc.7UrWg.7UrWg.7UrWg.7P7JA.7P7JA.7JTFS.7NHOc.7NHOc.7NHOc.7JQpC.7JQpC.7JTFI.7JTFI.7JTFI.7NA3s.7NA3s.7NA3s.7R35C.7R35C,0
portal,machina_portal,https://shadowverse-portal.com/deck/3.8.7DgeY.7DgeY.7DgeY.7OQdy.7Dibi.7Dibi.7Dibi.7LNJy.7LNJy.7LNJy.7P90i.7P90i.7P90i.7SwjI.7S_by.7S_by.7S_by.7GjTS.7GjTS.7GjTS.7GlvY.7GlvY.7GlvY.7GmeQ.7GmeQ.7GmeQ.7SAdA.7SAdA.7SAdA.7W3eg.7W3eg.7W3eg.7SEn6.7SEn6.7SEn6.7W2vy.7W2vy.7GoLy.7GoLy.7GoLy,0
shadow,flame_and_glass_shadow,https://shadowverse-portal.com/deck/3.5.7SuH2.7SuH2.7Ff6c.7Ff6c.7Ff6c.7Q-CY.7Q-CY.7Q-CY.7NAoQ.7NAoQ.7NAoQ.7R3pw.7R3pw.7R3pw.7HWki.7HWki.7HWki.7LNJy.7LNJy.7LNJy.7JTFc.7JTFc.7JTFc.7UrWg.7UrWg.7UrWg.7P7JA.7P7JA.7NHOc.7NHOc.7JQpC.7JQpC.7PBSo.7JTFI.7JTFI.7JTFI.7NA3s.7NA3s.7NA3s.7R35C,4
portal,resonance_portal,https://shadowverse-portal.com/deck/3.8.7OQdy.7VxbM.7VxbM.7VxbM.7VyJw.7VyJw.7VyJw.7HWki.7HWki.7HWki.7SwjI.7SwjI.7LLca.7LLca.7GoM6.7GoM6.7GoM6.7V-1I.7V-1I.7V-1I.7V-1S.7V-1S.7V-1S.7W3eg.7W3eg.7W3eg.7Glvi.7Glvi.7W0Ti.7W0Ti.7SEn6.7SEn6.7SEn6.7SzPA.7SzPA.7SCKi.7SCKi.7SCKi.7S_bo.7S_bo,4
blood,handless_blood,https://shadowverse-portal.com/deck/3.6.7HUnY.7HUnY.7NawI.7NawI.7NawI.7Nawc.7Nawc.7Nawc.7RMd2.7RMd2.7RMd2.7RP3S.7RP3S.7RP3S.7VFei.7VFei.7RSEQ.7RSEQ.7RSEQ.7RMdC.7RMdC.7RMdC.7VI4y.7VI4y.7VI4y.5_p-4.5_p-4.5_p-4.gnXBA.gnXBA.gnXBA.7RMdM.7RTxy.7RTxy.7RTxy.7VDxA.7VDxA.7RP3I.7RP3I.7RP3I,4
portal,resonance_puppet_portal,https://shadowverse-portal.com/deck/3.8.7KVAC.7KVAC.7KVAC.7OQdy.7OQdy.7OQdy.7VxbM.7VxbM.7VxbM.7GkCA.7GkCA.7GkCA.7S8Aw.7S8Aw.7S8Aw.7HWki.7HWki.7HWki.7LLca.7LLca.7GoM6.7GoM6.7GoM6.7Vxb2.7Vxb2.7V-1I.7V-1I.7V-1I.7V-1S.7V-1S.7V-1S.7W3eg.7W3eg.7W3eg.7OQe6.7OQe6.7OQe6.7W2vo.7W2vo.7W2vo,4
rune,dirt_rune,https://shadowverse-portal.com/deck/3.3.7IiQc.7IiQc.7IiQc.7IbqQ.7IbqQ.7IbqQ.7MRgo.7MRgo.7MRgo.7MU72.7MU72.7MU72.7QKic.7QKic.7QKic.7U3yo.7U3yo.7U3yo.7QE6a.7QI-w.gmPf2.gmPf2.gmPf2.7QE6Q.7QE6Q.7QE6Q.7Ib5Y.7Ib5Y.7Ib5Y.7U6P2.7U6P2.7U6P2.7QFpy.7QFpy.7QFpy.7IiQS.7IiQS.7IdXy.7IdXy.7IdXy,0
blood,handless_blood,https://shadowverse-portal.com/deck/3.6.7NawI.7NawI.7NawI.7Nawc.7Nawc.7Nawc.7RMd2.7RMd2.7RMd2.7RP3S.7RP3S.7RP3S.7VFei.7VFei.gnZdQ.gnZdQ.gnZdQ.7RMdC.7RMdC.7RMdC.7VI4y.7VI4y.7VI4y.5_p-4.5_p-4.5_p-4.gnXBA.gnXBA.gnXBA.7RMdM.7RMdM.7RTxy.7RTxy.7RTxy.7VDxA.7VDxA.7VDxA.7RP3I.7RP3I.7RP3I,0
shadow,flame_and_glass_shadow,https://shadowverse-portal.com/deck/3.5.7SuH2.7SuH2.7Ff6c.7Ff6c.7Ff6c.7Q-CY.7Q-CY.7Q-CY.7R3pw.7R3pw.7R3pw.gn6KQ.gn6KQ.gn6KQ.7HWki.7HWki.7LNJy.7LNJy.7LNJy.7JTFc.7JTFc.7JTFc.7UrWg.7UrWg.7UrWg.7P7JA.7P7JA.7NHOc.7NHOc.7NHOc.7JQpC.7JQpC.7PBSo.7PBSo.7JTFI.7JTFI.7JTFI.7NA3s.7NA3s.7NA3s,0
sword,evolve_rally_sword,https://shadowverse-portal.com/deck/3.2.7SuH2.7SuH2.7SuH2.7PtPS.7PtPS.7PtPS.7IDPw.7IDPw.7IDPw.7HWki.7HWki.7HWki.7S_by.7S_by.7S_by.7PyHo.7PyHo.7PyHo.7Tj-i.7Tj-i.7Tj-i.7S_c6.7S_c6.7S_c6.7EVt6.7EVt6.7EVt6.7IKkg.7IKkg.7IKkg.7M8tg.7M8tg.7M8tg.7ETQY.7ETQY.7ETQY.7IJ_o.7IJ_o.7IJ_o.7IIIQ,0
forest,ladica_forest,https://shadowverse-portal.com/deck/3.1.7DjKQ.7DjKQ.7TJ7o.7TJ7o.7TJ7o.7E0sQ.7E0sQ.7Lhag.7Lhag.7Lhag.7Lk0w.7Lk0w.7Lk0w.7PVjg.7PVjg.7PVjg.7S_by.7S_by.7E07Y.7E07Y.7E07Y.7Lgs6.7Lgs6.7Lgs6.7E3Ig.7E3Ig.7E3Ig.7P7JA.7P7JA.7PSYs.glfYw.7E7SS.7E7SS.7E7SS.glcNo.glcNo.glcNo.7TO0c.7TO0c.7TO0c,0
shadow,ghost_town_shadow,https://shadowverse-portal.com/deck/3.5.7Ff6c.7Ff6c.7Ff6c.7Q-CY.7Q-CY.7Q-CY.7R3pw.7R3pw.7R3pw.gn6KQ.gn6KQ.gn6KQ.7HWki.7HWki.7HWki.7P9lQ.7P9lQ.7JOMy.7JOMy.7JTFc.7JTFc.7JTFc.7UrWg.7UrWg.7UrWg.7P7JA.7P7JA.7JQpC.7JQpC.7UtE2.7UtE2.7JTFI.7JTFI.7JTFI.7NA3s.7NA3s.7NA3s.7R35C.7R35C.7R35C,0
